principle_id	statement	source_doc	source_section	verbatim_quote	authority_level	classification	cross_refs	conflicts	status
P-VER-05	Anti-success indicators require immediate stop and reassessment	A6	Red Flags	"Red Flags (Stop and Reassess)"	CANONICAL	PRINCIPLE	None	None	VERIFIED
P-DEPTH-01	Reasoning intensity must match problem complexity	A7	Core Principle	"Match reasoning intensity to problem complexity"	CANONICAL	PRINCIPLE	None	None	VERIFIED
P-DEPTH-02	Complex domain tasks must use planning mode before execution	A7	Complex Domain	"Complex tasks MUST use planning mode before execution"	CANONICAL	PRINCIPLE	P-DOC-03	None	VERIFIED
P-DEPTH-03	Chaotic domain requires stabilization before analysis	A7	Chaotic Domain	"Act - Stabilize immediately (stop the bleeding)"	CANONICAL	PRINCIPLE	None	None	VERIFIED
P-HAND-01	Observer amplifies human intuition while retaining survey-grade accuracy	C1	Project Intent	"Amplify human intuition, pattern recognition, and creative insight while retaining survey-grade accuracy"	FOUNDATIONAL	PRINCIPLE	P-PUR-02	None	VERIFIED
P-HAND-02	AI systems support, not replace, intuition	C1	Project Intent	"AI systems support, not replace, intuition"	FOUNDATIONAL	PRINCIPLE	P-PUR-02	None	VERIFIED
P-HAND-03	Structure exists to preserve meaning, not bureaucratize it	C1	Project Intent	"Structure exists to preserve meaning, not bureaucratize it"	FOUNDATIONAL	PHILOSOPHICAL	None	None	VERIFIED
P-HAND-04	Every result must be explainable, checkable, auditable, and reconstructable	C1	Project Intent	"Every result must be: explainable, checkable, auditable, reconstructable"	FOUNDATIONAL	PRINCIPLE	P-PUR-03,P-VER-01	None	VERIFIED
P-HAND-05	The filesystem is the data bus; not tokens, not chat context, not model memory	C1	Data Flow	"The filesystem is the bus. Not tokens. Not chat context. Not model memory."	FOUNDATIONAL	PRINCIPLE	None	None	VERIFIED
P-HAND-06	MCP servers do not render, do not decide, do not hallucinate	C1	MCP Servers	"MCP servers do not render; MCP servers do not decide; MCP servers do not hallucinate"	FOUNDATIONAL	PRINCIPLE	None	None	VERIFIED
P-HAND-07	The Council is a structured deliberation system, not a chatbot ensemble	C1	Council Structure	"The Council is not a chatbot ensemble. It is a structured deliberation system"	FOUNDATIONAL	PRINCIPLE	P-AUTH-03	AMB-06	VERIFIED
P-HAND-08	Job packets separate planning from execution and enforce proof of work	C1	Job Packets	"separate planning from execution; enforce proof of work; allow independent auditing; prevent silent failure"	FOUNDATIONAL	PRINCIPLE	P-BOUND-06	None	VERIFIED
P-HAND-09	No output is trusted unless steps are visible, results verifiable, provenance recorded	C1	Auditability	"No output is trusted unless: steps are visible, results are verifiable, provenance is recorded"	FOUNDATIONAL	PRINCIPLE	P-DOC-01,P-BOUND-08	None	VERIFIED
P-HAND-10	Silent success is treated as failure	C1	Auditability	"Silent success is treated as failure"	FOUNDATIONAL	PRINCIPLE	P-VER-01	None	VERIFIED
P-HAND-11	UI is optional; data is not; all UIs consume artifacts, render outputs, never own logic	C1	UI Is Optional	"All future UIs: consume artifacts, render outputs, never own logic"	FOUNDATIONAL	PRINCIPLE	None	None	VERIFIED
P-COUNCIL-01	Council MVP performs zero filesystem writes	C4	Non-Negotiables	"No silent writes. Council MVP performs zero filesystem writes"	OPERATIONAL	PRINCIPLE	P-BOUND-03,P-AUTH-04	None	VERIFIED
P-COUNCIL-02	Every Council output must contain explicit assumptions and unknowns	C4	Non-Negotiables	"Explicit assumptions + unknowns. Every output contains both"	OPERATIONAL	PRINCIPLE	None	None	VERIFIED
P-COUNCIL-03	Council output schema must be deterministic and stable across runs	C4	Non-Negotiables	"Deterministic structure. Output schema is stable across runs"	OPERATIONAL	PRINCIPLE	None	None	VERIFIED
P-COUNCIL-04	Builder is effectively disabled inside Council MVP; no writes	C4	Builder Role	"Builder is effectively disabled inside Council MVP"	OPERATIONAL	PRINCIPLE	None	CONF-02	VERIFIED
P-COUNCIL-05	Only Gatekeeper can authorize writes, execution, or promotion from proposal to apply	C4	Gatekeeper	"Only Gatekeeper can authorize writes / execution / promotion from proposal to apply"	OPERATIONAL	PRINCIPLE	P-AUTH-01,P-BOUND-04	None	VERIFIED
P-COUNCIL-06	Council MCP must not modify disk or external state	C5	Invariants	"The Council MCP is survey/status only. It must not modify disk or external state"	OPERATIONAL	PRINCIPLE	P-COUNCIL-01	None	VERIFIED
P-COUNCIL-07	No network side effects without explicit approval	C5	Invariants	"No network side effects (unless explicitly approved later)"	OPERATIONAL	PRINCIPLE	None	None	VERIFIED
P-COUNCIL-08	Any claim of read-only must be supported by a contract check run	C5	Proof Requirement	"Any claim of 'read-only' must be supported by a contract check run logged in SESSION_LOG.md"	OPERATIONAL	PRINCIPLE	P-DOC-01	None	VERIFIED
P-ESCAL-01	Work flows downward; uncertainty flows upward	C8	Tagline	"Work flows downward; uncertainty flows upward"	OPERATIONAL	PRINCIPLE	P-AUTH-07	None	VERIFIED
P-ESCAL-02	Execution must halt on unclear goals, conflicting instructions, safety concerns, or missing prerequisites	C8	Stop Conditions	"Unclear goal, scope, or ownership; Conflicting instructions; Safety, security, or irreversible impact; Missing prerequisites"	OPERATIONAL	PRINCIPLE	P-DOC-03	None	VERIFIED
P-ESCAL-03	Builder may not proceed until a Reality Patch is issued by Council	C8	Reality Patch	"Builder may not proceed until a Reality Patch is issued"	OPERATIONAL	PRINCIPLE	None	CONF-02	VERIFIED
P-ESCAL-04	Human escalation occurs only if Council cannot determine a safe conclusion	C8	Escalation	"Human escalation occurs only if Council cannot determine a safe conclusion"	OPERATIONAL	PRINCIPLE	P-AUTH-01	None	VERIFIED
P-CREAT-01	Signal (raw creative input) is allowed to be unconstrained but is never authoritative	C7	Layer 1	"Signal is allowed to be unconstrained. Signal is never authoritative."	OPERATIONAL	PRINCIPLE	None	None	VERIFIED
P-CREAT-02	Translation produces proposals, not decisions	C7	Layer 2	"Translation produces proposals, not decisions"	OPERATIONAL	PRINCIPLE	P-BOUND-06	None	VERIFIED
P-CREAT-03	Only verified proof may update canonical state	C7	Layer 3	"Only Proof may update canon"	OPERATIONAL	PRINCIPLE	P-DOC-01,P-CANON-01	None	VERIFIED
P-CREAT-04	No creative input, intuition, or narrative may directly modify authoritative state	C7	Governance Rule	"No creative input, intuition, or narrative may directly modify authoritative state. This separation is mandatory."	OPERATIONAL	PRINCIPLE	P-CREAT-03	None	VERIFIED
P-GUARD-01	Documentation does not authorize execution	B1	Authority	"Documentation does not authorize execution"	OPERATIONAL	PRINCIPLE	P-BOUND-06	None	VERIFIED
P-GUARD-02	Only explicitly approved files may be modified per task	B1	Scope Control	"Only explicitly approved files may be modified per task"	OPERATIONAL	PRINCIPLE	P-DOC-02	None	VERIFIED
P-GUARD-03	No implicit scope expansion	B1	Scope Control	"No implicit scope expansion"	OPERATIONAL	PRINCIPLE	P-DOC-02	None	VERIFIED
P-GUARD-04	Work must include machine-verifiable proof where feasible	B1	Proof Requirement	"Work must include machine-verifiable proof where feasible"	OPERATIONAL	PRINCIPLE	P-DOC-01	AMB-07	VERIFIED
P-GUARD-05	When approved scope is complete, stop; do not roll into next task	B1	Stop Rule	"When the approved scope is complete, stop. Do not roll into the next task without explicit approval"	OPERATIONAL	PRINCIPLE	P-DOC-02	None	VERIFIED
P-GUARD-06	Never commit secrets	B2	Council MVP	"Never commit secrets (tokens, auth.json, credentials, env files)"	OPERATIONAL	PRINCIPLE	P-DOC-05	None	VERIFIED
P-GUARD-07	Workspace is wrapper, not truth; truth lives in canonical repos/vault	B2	Council MVP	"Workspace is wrapper, not truth: truth lives in canonical repos/vault"	OPERATIONAL	PRINCIPLE	None	CONF-03	VERIFIED
P-DOD-01	Final determination of done rests with the human operator	B11	Authority	"Final determination of DONE rests with the human operator"	OPERATIONAL	PRINCIPLE	P-AUTH-01	None	VERIFIED
P-DOD-02	A task is done only when all applicable criteria are met regardless of intent or effort	B11	General Rules	"If any criterion is unmet, the work is NOT DONE, regardless of intent or effort"	OPERATIONAL	PRINCIPLE	P-VER-01	None	VERIFIED
P-DOD-03	Documentation must match on-disk reality with no speculative content	B11	Documentation Criteria	"Documentation matches on-disk reality; No speculative...content"	OPERATIONAL	PRINCIPLE	None	None	VERIFIED
P-SESS-01	Sessions follow a consistent start-execute-close loop for auditability	B12	Purpose	"A consistent start > execute > close loop so the workspace stays auditable and stable"	OPERATIONAL	PRINCIPLE	P-VER-04	None	VERIFIED
P-SESS-02	One scope per session unless explicitly re-scoped	B12	During Session	"One scope per session unless explicitly re-scoped"	OPERATIONAL	PRINCIPLE	P-DOC-02	None	VERIFIED
P-SESS-03	Any disk writes must be intentional and attributable	B12	During Session	"Any disk writes must be intentional and attributable (commit or explicit decision)"	OPERATIONAL	PRINCIPLE	P-BOUND-07	None	VERIFIED
P-PAI-BOUND-01	Observer workspace is provisional coordination, not canon	B16	Observer Control Plane	"Role: provisional coordination + reconstruction notes (not canon)"	PROVISIONAL	PRINCIPLE	None	CONF-03	VERIFIED
P-CANON-01	Only humans can grant canonical status; no synthesis creates authority	C15	Eligibility	"All required...Non-prescriptive...Gate-aligned...Path-stable...Authority-safe"	OPERATIONAL	PRINCIPLE	P-AUTH-01	None	VERIFIED
P-CANON-02	Canon may describe reality, never create it; code and gates remain source of truth	C15	Safety Rules	"Canon may describe reality, never create it; Code + gates remain the source of truth"	OPERATIONAL	PRINCIPLE	P-GUARD-01	None	VERIFIED
P-CANON-03	Canon conflicts are resolved by Code first, Gates second, Receipts third, Canon last	C15	Safety Rules	"Canon conflicts are resolved by: 1. Code, 2. Gates, 3. Receipts, 4. Canon (last)"	OPERATIONAL	PRINCIPLE	None	None	VERIFIED
P-CANON-04	Brainstorms, roadmaps, aspirational designs, and deferred concepts must never become canon	C15	Non-Canon Zones	"These must never become canon: Brainstorms, Roadmaps, Aspirational designs, Deferred concepts"	OPERATIONAL	PRINCIPLE	None	None	VERIFIED
P-CANON-05	Post-promotion edits require version bump, repeat audit, and explicit re-approval	C15	Immutability Rule	"Post-promotion edits require: version bump, repeat audit, explicit re-approval"	OPERATIONAL	PRINCIPLE	None	None	VERIFIED
P-CANON-06	No implicit acceptance via time or usage constitutes promotion	C15	Promotion Trigger	"No 'implicit acceptance' via time or usage"	OPERATIONAL	PRINCIPLE	P-BOUND-05	None	VERIFIED
P-ORCH-01	Work Orders define intent and constraints but do not authorize execution	C6	Enforcement Boundary	"Work Orders define intent and constraints. They do not authorize execution."	OPERATIONAL	PRINCIPLE	P-GUARD-01	None	VERIFIED
P-ORCH-02	Hot zone changes require explicit coordination, rationale, forbidden changes list, and all governance checks	C6	Hot Zones	"Hot zone changes must: 1. Include clear rationale...2. Specify forbidden changes...3. Pass all governance checks"	OPERATIONAL	PRINCIPLE	None	None	VERIFIED
P-VAULT-01	Items in airlock are not canonical until human review promotes them	C14	Airlock	"Items placed here are NOT yet considered canonical; Human review required before promotion"	OPERATIONAL	PRINCIPLE	P-CANON-01	None	VERIFIED
P-VAULT-02	Truth must live in the filesystem, not inside tools	C14	Do Not Store Truth	"Truth must live in the filesystem (Vault or workspace); Tools consume and produce, but do not own"	OPERATIONAL	PRINCIPLE	P-HAND-05	None	VERIFIED
P-RECON-01	Canon will be declared explicitly once reconstruction is complete	C12	Explicitly Non-Canonical	"Canon will be declared explicitly once the Vault is reconstructed"	PROVISIONAL	PRINCIPLE	P-CANON-01	None	VERIFIED
P-STATE-01	Documentation is descriptive, not prescriptive; code enforces behavior	C2	Enforcement Boundary	"Markdown documents define intent and constraint; Code enforces behavior; Documentation does not cause execution"	OPERATIONAL	PRINCIPLE	P-GUARD-01,P-CANON-02	None	VERIFIED
P-STATE-02	Inferred does not equal true; resonance does not equal correctness	C2	Guardrails	"Inferred != true; Resonance != correctness"	OPERATIONAL	PRINCIPLE	P-DOC-01	None	VERIFIED
P-STATE-03	All bridges between ideas require human approval; no hidden inference or silent synthesis	C2	Guardrails	"All bridges require human approval; No hidden inference or silent synthesis"	OPERATIONAL	PRINCIPLE	P-AUTH-01	None	VERIFIED
P-MASTER-01	Receipts are immutable auditable artifacts that document what occurred, not authorize execution	C16	Invariants	"Receipts are immutable, auditable artifacts; they document what occurred"	OPERATIONAL	PRINCIPLE	P-BOUND-09,P-GUARD-01	None	VERIFIED
P-MASTER-02	Canon and Vault remain separate; canon requires explicit review and promotion	C16	Invariants	"Canon and Vault remain separate; canon requires explicit review and promotion"	OPERATIONAL	PRINCIPLE	P-CANON-01	None	VERIFIED
P-AGENT-01	AI articulates, Human decides; the core principle across all Council roles	C13	All Agent Docs	"AI articulates, Human decides"	HISTORICAL	PRINCIPLE	P-AUTH-01	None	VERIFIED
P-AGENT-02	All Council agent roles have write:false, edit:false, bash:false as configuration	C13	All Agent Headers	"tools: write: false, edit: false, bash: false"	HISTORICAL	PRINCIPLE	P-BOUND-03	None	VERIFIED
P-AGENT-03	The Sentry's adversarial stance: trust nothing, verify everything	C13	Sentry	"Trust nothing. Verify everything"	HISTORICAL	PHILOSOPHICAL	P-DOC-01	None	VERIFIED
INFERRED-01	When security boundaries and human authority conflict, the conflict must be surfaced for human resolution rather than silently resolved in either direction	INFERRED	P-AUTH-01+P-BOUND-11+P-AUTH-09	"If security boundaries cannot be overridden but human is absolute authority, a genuine paradox exists requiring human adjudication"	INFERRED	PRINCIPLE	P-AUTH-01,P-BOUND-11	CONF-01	VERIFIED
INFERRED-02	Observer workspace artifacts (work orders, receipts) are produced by execution agents on Observer's behalf, not by Observer directly writing	INFERRED	P-BOUND-03+P-BOUND-09+B11	"If Observer has zero write authority but receipts exist on disk, a third party (PAI or human) must have written them"	INFERRED	PRINCIPLE	P-BOUND-03	CONF-06	VERIFIED
